STATE,COUNTY,FIPS,TRACT,population,AVGCONCMAJ,AVGCONCAR,AVGCONCON,AVGCONCNON,AVGCONCBK,AVGCONCSEC,AVGCONCTOT,AVGEXPMAJ,AVGEXPAR,AVGEXPON,AVGEXPNON,AVGEXPBK,AVGEXPSEC,AVGEXPTOT,AVGRSKMAJ,AVGRSKAR,AVGRSKON,AVGRSKNON,AVGRSKBK,AVGRSKSEC,AVGRSKTOT,RESPTOT,NEURTOT,LIVRTOT,DEVTOT,RPROTOT,KIDNTOT,OCULTOT,ENDOTOT,HEMATOT,IMMUTOT,SKELTOT,SPLETOT,THYRTOT,WHOLTOT,Chemical.Name
TX,Galveston,48167,48167720200,3965,0.009546139,0.036141192,0,0,0,0,0.045687331,0.009468992,0.02360639,0,0,0,0,0.033075382,0,0,0,0,0,0,0,0,0.011025127,0,0,0,0,0,0,0,0,0,0,0.011025127,0,CYANIDE
TX,Galveston,48167,48167720200,3965,0,0,0.236572345,0.565757313,0,0,0.802329658,0,0,0.176252984,0.284607127,0,0,0.46086011,0,0,0,0,0,0,0,0.092172022,0,0,0,0,0,0,0,0,0,0,0,0,0,DIESEL
TX,Galveston,48167,48167720200,3965,0.110761906,0.543235513,0.17158828,0.112994553,0.565045325,0,1.503625577,0.10004111,0.459474487,0.202375983,0.10920847,0.477921462,0,1.349021512,0,0,0,0,0,0,0,0,0.000269804,0,0,0,0,0,0,0,0,0,0,0,0,TOLUENE
TX,Galveston,48167,48167720300,8842,0.008524313,0.014392795,0.014022203,0.03891698,0,1.57774,1.65359629,0.007293799,0.012315142,0.018360186,0.044706438,0,1.203443866,1.286119431,1.60E-08,2.71E-08,4.04E-08,9.84E-08,0,2.65E-06,2.83E-06,0.142902159,0,0,0,0,0,0,0,0,0,0,0,0,0,ACETALDEHYDE
TX,Galveston,48167,48167720300,8842,0.103894995,0.136600408,0.047735959,0.049758392,0.287404105,0,0.625393859,0.091127839,0.121425679,0.072235779,0.065780525,0.213475323,0,0.564045145,7.11E-07,9.47E-07,5.63E-07,5.13E-07,1.67E-06,0,4.40E-06,0,0,0,0,0,0,0,0,0,0.018801505,0,0,0,0,BENZENE
TX,Galveston,48167,48167720300,8842,0.036998901,0.000213339,0.005911601,0.00603598,0.023829384,0,0.072989206,0.034882541,0.000166845,0.011729965,0.011353282,0.01735879,0,0.075491423,1.05E-06,5.01E-09,3.52E-07,3.41E-07,5.21E-07,0,2.26E-06,0,0,0,0,0.037745711,0,0,0,0,0,0,0,0,0,BUTADIENE
TX,Galveston,48167,48167720300,8842,0.008655371,0.021931065,0,0,0,0,0.030586436,0.008627464,0.01490639,0,0,0,0,0.023533854,0,0,0,0,0,0,0,0,0.007844618,0,0,0,0,0,0,0,0,0,0,0.007844618,0,CYANIDE
TX,Galveston,48167,48167720300,8842,0,0,0.203239868,0.527549178,0,0,0.730789046,0,0,0.188940379,0.264536528,0,0,0.453476908,0,0,0,0,0,0,0,0.090695382,0,0,0,0,0,0,0,0,0,0,0,0,0,DIESEL
TX,Galveston,48167,48167720300,8842,0.10256341,0.354114487,0.149065196,0.090309371,0.565045325,0,1.261097789,0.088379041,0.321562194,0.215864731,0.109611717,0.513103025,0,1.248520707,0,0,0,0,0,0,0,0,0.000249704,0,0,0,0,0,0,0,0,0,0,0,0,TOLUENE
TX,Galveston,48167,48167720400,4336,0.008084903,0.012546284,0.012499096,0.033539936,0,1.34886,1.41553022,0.006720006,0.010311679,0.016993028,0.036054399,0,1.024956272,1.095035385,1.48E-08,2.27E-08,3.74E-08,7.93E-08,0,2.25E-06,2.41E-06,0.121670598,0,0,0,0,0,0,0,0,0,0,0,0,0,ACETALDEHYDE
